observation_date;TEDRATE;Ted_lag;Ted_diff;R_BAB;BAB_lagged;R_BAB_SD;BAB_SD_lagged;BS;BS_SD;MarketReturn
2015-01-14;21;22;-1;0.00823440664570535;0.00819957268407781;0.00837224715572264;0.00859846089284404;0.554263791711982;0.555555781805772;-0.0170736052195017
2015-01-15;22;21;1;0.00630678756307659;0.00823440664570535;0.00625017797595126;0.00837224715572264;0.555360234054336;0.556518191642364;0.0186198035711251
2015-01-16;23;22;1;-0.000822733776431207;0.00630678756307659;-0.00105252150072567;0.00625017797595126;0.554549870946195;0.555828015775574;-0.0142932884293467
2015-01-19;0;23;-23;0.00112292222123621;-0.000822733776431207;0.000763202518215756;-0.00105252150072567;0.557038873788418;0.558269246854149;0.0089021847520625
2015-01-20;23;0;23;0.00140747409215107;0.00112292222123621;0.00149427377908137;0.000763202518215756;0.552733650760111;0.553947606464716;0.0206891181157076
2015-01-21;23;23;0;0.010344631261502;0.00140747409215107;0.0103257952040646;0.00149427377908137;0.55088883148591;0.5517904303877;-0.00494194360683242
2015-01-22;23;23;0;5.15311974987072E-05;0.010344631261502;-0.000226780448028702;0.0103257952040646;0.553190943812627;0.553968670403956;0.00280900864485778
2015-01-23;24;23;1;-0.00676103904092478;5.15311974987072E-05;-0.0073940965437924;-0.000226780448028702;0.553853650744031;0.554587759244501;0.0105446617968232
2015-01-26;23;24;-1;1.61599468929434E-05;-0.00676103904092478;-0.000243850957659692;-0.0073940965437924;0.556225706960204;0.556923846513613;-0.00246849104269897
2015-01-27;23;23;0;0.0128948128349477;1.61599468929434E-05;0.0129949270806484;-0.000243850957659692;0.558262060439514;0.558940233176479;0.017161165201109
2015-01-28;23;23;0;0.0104355551911379;0.0128948128349477;0.0105050474924089;0.0129949270806484;0.555293969059034;0.555997437345266;0.00161259421936411
2015-01-29;22;23;-1;-0.00816579339756219;0.0104355551911379;-0.00848780470538132;0.0105050474924089;0.555479884355181;0.556141245744915;-0.0106491991243322
2015-01-30;23;22;1;0.00226892018009669;-0.00816579339756219;0.00138990499011774;-0.00848780470538132;0.553458924461441;0.554539840078271;0.00387209057774562
2015-02-02;23;23;0;0.0046524960457399;0.00226892018009669;0.00483336581539846;0.00138990499011774;0.551223822906356;0.552417725346204;-0.00652764147291518
2015-02-03;24;23;1;-0.00724990452069965;0.0046524960457399;-0.00644471233280659;0.00483336581539846;0.54886258940894;0.545371223952938;-0.0126546866644637
2015-02-04;25;24;1;0.00223700730396093;-0.00724990452069965;0.00356721679705264;-0.00644471233280659;0.544889954072561;0.541707113847574;0.0197792620094814
2015-02-05;24;25;-1;0.00282680120172252;0.00223700730396093;0.00288890257109219;0.00356721679705264;0.546716152246281;0.543239745382501;-0.00984903450332497
2015-02-06;24;24;0;-0.000885850572999267;0.00282680120172252;-0.00168092502599657;0.00288890257109219;0.544600609820055;0.541468389233312;0.00821950239758129
2015-02-09;25;24;1;-0.000529735361638839;-0.000885850572999267;0.000540571648037031;-0.00168092502599657;0.541859566817438;0.538421698096617;0.00359390283758954
2015-02-10;25;25;0;0.00676654893207013;-0.000529735361638839;0.00660685816247858;0.000540571648037031;0.540631365933296;0.537119785973277;-0.00334513585946516
2015-02-11;25;25;0;-8.49797188694667E-07;0.00676654893207013;-9.05013595154686E-07;0.00660685816247858;0.539687521458855;0.53616746981092;0
2015-02-12;24;25;-1;0.00535723068043864;-8.49797188694667E-07;0.00490928796419876;-9.05013595154686E-07;0.540426399135595;0.536968172444266;0.018526386765745
2015-02-13;25;24;1;-0.000732484391501278;0.00535723068043864;-0.00136409224826029;0.00490928796419876;0.543367574031699;0.540460126153056;-0.00369093205102922
2015-02-16;0;25;-25;0.00161020542090173;-0.000732484391501278;0.00137791819296189;-0.00136409224826029;0.542279139667995;0.539519184995187;0.00510293478483481
2015-02-17;24;0;24;0.00219711615567434;0.00161020542090173;0.0037055119460389;0.00137791819296189;0.54057733595431;0.537794460333874;-0.000981822696103252
2015-02-18;24;24;0;0.00221428587187557;0.00219711615567434;0.00269756711832943;0.0037055119460389;0.541152774133085;0.538043540647454;0.011790807498647
2015-02-19;24;24;0;0.00469275876390599;0.00221428587187557;0.0052858761303763;0.00269756711832943;0.540693156881953;0.537537914033536;0.00360573513096218
2015-02-20;24;24;0;-0.00536838463808404;0.00469275876390599;-0.00483980959701945;0.0052858761303763;0.538304117881596;0.535063883578638;0.00369618593931742
2015-02-23;24;24;0;0.00621339699348142;-0.00536838463808404;0.0050545466967449;-0.00483980959701945;0.53953102977167;0.536192500889197;0.00734328398033801
2015-02-24;24;24;0;-0.000221917957001964;0.00621339699348142;-0.000254069616558562;0.0050545466967449;0.539696569309386;0.536147737985737;0.00739496997828337
2015-02-25;24;24;0;-0.000641609985634171;-0.000221917957001964;-0.000469124564595139;-0.000254069616558562;0.540342964474341;0.536793350318958;-0.000489719899207541
2015-02-26;23;24;-1;0.000851304522329172;-0.000641609985634171;0.000699697873141052;-0.000469124564595139;0.536242152560089;0.532931014617404;0.0107930005528034
2015-02-27;24;23;1;0.00499218502815753;0.000851304522329172;0.00476780896570141;0.000699697873141052;0.537687732445383;0.534411632287351;0.000646665695523518
2015-03-02;24;24;0;-0.000206106129237971;0.00499218502815753;4.46334529960359E-05;0.00476780896570141;0.534943697365198;0.531847194893272;0.00153957969691021
2015-03-03;25;24;1;0.00585951085626105;-0.000206106129237971;0.00597115342599382;4.46334529960359E-05;0.527148728879286;0.528999634878822;-0.000622531604479559
2015-03-04;25;25;0;-0.00060553030665993;0.00585951085626105;-0.00054310013551763;0.00597115342599382;0.528290525413328;0.530103667747097;-0.0059292831302169
2015-03-05;24;25;-1;0.00678806447414254;-0.00060553030665993;0.00664003050158223;-0.00054310013551763;0.529622730649101;0.531515359502409;0.00257915077539717
2015-03-06;25;24;1;0.0063903973413665;0.00678806447414254;0.00621693330703448;0.00664003050158223;0.528620769496245;0.530462998850082;0.0116874929159851
2015-03-09;25;25;0;-0.00269447213871448;0.0063903973413665;-0.00268328469844923;0.00621693330703448;0.527191736549531;0.529027443395389;-0.00951186459606257
2015-03-10;25;25;0;-0.00341652822488977;-0.00269447213871448;-0.00320028023925162;-0.00268328469844923;0.529536417810166;0.531326671738442;-0.0066757010696733
