observation_date;TEDRATE;Ted_lag;Ted_diff;R_BAB;BAB_lagged;R_BAB_SD;BAB_SD_lagged;MarketReturn;BS;BS_SD
08.03.2007;39;37;2;-0.000377376655754023;-0.00559192762396614;0.00422065294829959;-0.00310013955168287;-1.091;0.477867734905911;0.788592761334912
09.03.2007;38;39;-1;0.000306145381781873;-0.000377376655754023;-0.0189160655442147;0.00422065294829959;1.599;0.477668241792855;0.786562803246794
12.03.2007;40;38;2;0.006123778552113;0.000306145381781873;0.00597899003184673;-0.0189160655442147;-0.191;0.477605170722583;0.794344837572114
13.03.2007;41;40;1;-0.00462831822669609;0.006123778552113;-0.00176788637241;0.00597899003184673;0.699;0.475846306325559;0.787308626979515
14.03.2007;43;41;2;-0.00180330488757251;-0.00462831822669609;-0.0071616409052269;-0.00176788637241;0.109;0.47294849186425;0.779323075067895
15.03.2007;44;43;1;0.00149882272194799;-0.00180330488757251;-0.000595813707375298;-0.0071616409052269;0.299;0.472300560588264;0.778016619603257
16.03.2007;45;44;1;0.000841322004056496;0.00149882272194799;0.00542396001788399;-0.000595813707375298;-2.011;0.471936010475604;0.7787632554757
19.03.2007;42;45;-3;0.000349531526304485;0.000841322004056496;-0.0058211392567378;0.00542396001788399;0.589;0.471873034567935;0.781488670479949
20.03.2007;43;42;1;0.00375603590679796;0.000349531526304485;0.00198221993588886;-0.0058211392567378;0.459;0.471633093502241;0.782425027685504
21.03.2007;44;43;1;-0.00050683503605956;0.00375603590679796;0.000563583339444646;0.00198221993588886;-0.401;0.471257448303094;0.78168665316386
22.03.2007;43;44;-1;-0.000537783409472962;-0.00050683503605956;0.00646268998346288;0.000563583339444646;1.099;0.471013563309098;0.781307760352952
23.03.2007;41;43;-2;-0.0017252766946077;-0.000537783409472962;-0.0111826323615442;0.00646268998346288;0.689;0.470614167309201;0.777429494737808
26.03.2007;42;41;1;-0.000896799942856973;-0.0017252766946077;0.000119531355197971;-0.0111826323615442;1.659;0.470201755017016;0.776001862638369
27.03.2007;42;42;0;-0.00230649837941529;-0.000896799942856973;0.00357928037143483;0.000119531355197971;-0.001;0.470283401491682;0.774712200947511
28.03.2007;43;42;1;0.00333879945339693;-0.00230649837941529;-0.00029760228238586;0.00357928037143483;0.099;0.470475208775842;0.77418763749828
29.03.2007;44;43;1;0.00138189753698849;0.00333879945339693;0.00326615163017396;-0.00029760228238586;0.079;0.47016276269271;0.774455674322818
30.03.2007;45;44;1;0.00055146244434846;0.00138189753698849;0.00408725285365802;0.00326615163017396;-0.591;0.470052921303606;0.775515944586728
02.04.2007;44;45;-1;0.00291908446560778;0.00055146244434846;0.00375006866152606;0.00408725285365802;-0.721;0.469842807639818;0.774830672531975
03.04.2007;44;44;0;0.00153260184610402;0.00291908446560778;-0.000844215206241756;0.00375006866152606;0.309;0.468781975341025;0.776882052560266
04.04.2007;43;44;-1;-0.00171949174483092;0.00153260184610402;-0.00155560458175149;-0.000844215206241756;-0.051;0.468129577391219;0.776550891469165
05.04.2007;45;43;2;-0.000735404400680261;-0.00171949174483092;-0.0012514661442061;-0.00155560458175149;0.242;0.467766615084455;0.775585541434852
09.04.2007;0;45;-45;-0.0037223980474794;-0.000735404400680261;-0.00466869586391232;-0.0012514661442061;0.952;0.468865560296118;0.775721177918898
10.04.2007;47;0;47;-3.86616705898182E-06;-0.0037223980474794;0.00184425965910784;-0.00466869586391232;0.112;0.469416189549104;0.775663744536534
11.04.2007;46;47;-1;-0.000690256072836856;-3.86616705898182E-06;0.00233012824589508;0.00184425965910784;0.332;0.469048857524795;0.775107562753841
12.04.2007;47;46;1;-0.000965473401023378;-0.000690256072836856;0.000238769976345923;0.00233012824589508;0.072;0.469064536161864;0.774741737653431
13.04.2007;48;47;1;0.00390706925923691;-0.000965473401023378;0.00406384411106011;0.000238769976345923;0.242;0.468834061234987;0.774159443894449
16.04.2007;48;48;0;-0.00256732176682504;0.00390706925923691;0.00413264220065632;0.00406384411106011;-0.618;0.468283162314619;0.783034327072837
17.04.2007;49;48;1;0.00347128635996297;-0.00256732176682504;-0.00145391047091137;0.00413264220065632;0.632;0.468801937055619;0.782294827333218
18.04.2007;50;49;1;0.000218411233634482;0.00347128635996297;0.000104705969554475;-0.00145391047091137;0.362;0.465457464467821;0.782172167807855
19.04.2007;51;50;1;-0.00132242890397745;0.000218411233634482;-0.00353957107201625;0.000104705969554475;1.082;0.466239851907663;0.784409683825211
20.04.2007;51;51;0;-0.000657591774686682;-0.00132242890397745;0.000539753817199636;-0.00353957107201625;0.112;0.466494040956097;0.783828825524092
23.04.2007;51;51;0;-0.00446462728989356;-0.000657591774686682;-0.00276768315577265;0.000539753817199636;0.022;0.466450902070697;0.782967339589089
24.04.2007;52;51;1;0.000678175943883623;-0.00446462728989356;0.00135417391317506;-0.00276768315577265;-0.208;0.465980591445875;0.782298666149717
25.04.2007;53;52;1;-0.00176536750308801;0.000678175943883623;0.00485705299094237;0.00135417391317506;0.912;0.465574203152176;0.781679555933596
26.04.2007;54;53;1;-0.00622683897903397;-0.00176536750308801;-4.78322017220048E-05;0.00485705299094237;-0.218;0.466532177980201;0.780527083579179
27.04.2007;55;54;1;0.000705441932738625;-0.00622683897903397;0.004451779732307;-4.78322017220048E-05;-0.078;0.46618260197252;0.782614164384455
30.04.2007;57;55;2;0.00336667027986091;0.000705441932738625;0.000844489122826129;0.004451779732307;0.932;0.464870381547982;0.774207503609652
01.05.2007;60;57;3;0.0035840700204072;0.00336667027986091;-0.00237995811449847;0.000844489122826129;0.002;0.464801576033751;0.775957648315674
02.05.2007;59;60;-1;-0.00402906636069631;0.0035840700204072;0.00282137086079969;-0.00237995811449847;-0.108;0.463626899265518;0.777124528800364
03.05.2007;60;59;1;-0.00313304639246784;-0.00402906636069631;-0.00565730407498307;0.00282137086079969;-0.908;0.464324189610004;0.777980296943252
04.05.2007;60;60;0;-0.000848031427568083;-0.00313304639246784;0.000578284895471447;-0.00565730407498307;0.238;0.462681695236487;0.776812503881939
07.05.2007;0;60;-60;0.00260042366067529;-0.000848031427568083;0.000112308055979209;0.000578284895471447;0.808;0.46302809229932;0.775268040421441
08.05.2007;60;0;60;-0.00639966423762067;0.00260042366067529;-0.00561821469924196;0.000112308055979209;0.388;0.463087450021919;0.778654990784153
09.05.2007;62;60;2;-0.0065276469299932;-0.00639966423762067;-0.000436215219210308;-0.00561821469924196;0.268;0.46301995363031;0.778243380010432
10.05.2007;63;62;1;-0.00131631029895875;-0.0065276469299932;0.000369905083680361;-0.000436215219210308;0.198;0.463608786320617;0.775733013281517
11.05.2007;63;63;0;-0.00249616738589974;-0.00131631029895875;0.00453429976374338;0.000369905083680361;-0.112;0.461884097733154;0.776307392273219
14.05.2007;63;63;0;0.0012445953182618;-0.00249616738589974;-0.00171008869871276;0.00453429976374338;0.368;0.461066629518722;0.764453197723296
15.05.2007;66;63;3;0.00406459224372709;0.0012445953182618;-0.00221096676289264;-0.00171008869871276;-1.402;0.461073547259118;0.76599765923872
16.05.2007;74;66;8;0.00382864645499176;0.00406459224372709;-0.000680415696532825;-0.00221096676289264;0.968;0.46122833330132;0.762666900983126
17.05.2007;68;74;-6;-0.00658292433295111;0.00382864645499176;0.00334330675014075;-0.000680415696532825;-0.262;0.460393937639147;0.762139320728512
18.05.2007;66;68;-2;-0.000592986897376094;-0.00658292433295111;-0.00696780839964644;0.00334330675014075;-0.252;0.459625049832774;0.762017897466985
21.05.2007;60;66;-6;-0.00283530503783704;-0.000592986897376094;-0.00519411334384454;-0.00696780839964644;0.838;0.459545348960035;0.762071395320804
22.05.2007;57;60;-3;-0.00530954965580406;-0.00283530503783704;-0.00546167627062987;-0.00519411334384454;-0.082;0.457645746210522;0.762908121510943
23.05.2007;59;57;2;-0.00103617430613162;-0.00530954965580406;-8.87607192207422E-05;-0.00546167627062987;0.678;0.457021834101896;0.760003567393503
24.05.2007;59;59;0;0.00315893854911989;-0.00103617430613162;0.00061606017858289;-8.87607192207422E-05;0.328;0.457079641818517;0.758234173331976
25.05.2007;61;59;2;-0.00339776967968961;0.00315893854911989;0.00381071246806963;0.00061606017858289;0.098;0.455955654800527;0.759915128715479
29.05.2007;60;61;-1;0.00041782581087202;-0.00339776967968961;0.00635462788730457;0.00381071246806963;-0.162;0.456328415337861;0.76043352275513
30.05.2007;65;60;5;-0.00293288285051997;0.00041782581087202;-0.00694279328377271;0.00635462788730457;-1.052;0.455168338235339;0.756861585535229
31.05.2007;76;65;11;0.000120246925582909;-0.00293288285051997;0.000753234206501851;-0.00694279328377271;0.568;0.455830491077625;0.754975948082441
01.06.2007;70;76;-6;-0.000430690146900805;0.000120246925582909;-0.00147246407187866;0.000753234206501851;0.258;0.455757692446431;0.755270758912052
04.06.2007;68;70;-2;-0.00258236235843164;-0.000430690146900805;-0.00525233985893136;-0.00147246407187866;0.788;0.45401256717549;0.751717367834355
